"","PD","SR","cellid"
"5392",281.82917092,1,"5392"
"5393",281.82917092,1,"5393"
"5394",281.82917092,1,"5394"
"5395",281.82917092,1,"5395"
"5396",281.82917092,1,"5396"
"5397",281.82917092,1,"5397"
"5398",281.82917092,1,"5398"
"5399",281.82917092,1,"5399"
"5400",281.82917092,1,"5400"
"5401",281.82917092,1,"5401"
"5402",281.82917092,1,"5402"
"5403",281.82917092,1,"5403"
"5404",281.82917092,1,"5404"
"5405",281.82917092,1,"5405"
"5406",281.82917092,1,"5406"
"5407",281.82917092,1,"5407"
"5408",281.82917092,1,"5408"
"5409",281.82917092,1,"5409"
"5410",281.82917092,1,"5410"
"5411",281.82917092,1,"5411"
"5412",281.82917092,1,"5412"
"5413",281.82917092,1,"5413"
"5414",281.82917092,1,"5414"
"5415",281.82917092,1,"5415"
"5416",281.82917092,1,"5416"
"5417",281.82917092,1,"5417"
"5418",281.82917092,1,"5418"
"5419",281.82917092,1,"5419"
"5420",281.82917092,1,"5420"
"5421",281.82917092,1,"5421"
"5422",281.82917092,1,"5422"
"5423",281.82917092,1,"5423"
"5424",281.82917092,1,"5424"
"5425",281.82917092,1,"5425"
"5426",281.82917092,1,"5426"
"5427",281.82917092,1,"5427"
"5428",281.82917092,1,"5428"
"5429",281.82917092,1,"5429"
"5461",281.82917092,1,"5461"
"5462",281.82917092,1,"5462"
"5463",281.82917092,1,"5463"
"5464",281.82917092,1,"5464"
"5465",281.82917092,1,"5465"
"5466",281.82917092,1,"5466"
"5467",281.82917092,1,"5467"
"5468",281.82917092,1,"5468"
"5469",281.82917092,1,"5469"
"5470",281.82917092,1,"5470"
"5471",281.82917092,1,"5471"
"5472",281.82917092,1,"5472"
"5473",281.82917092,1,"5473"
"5474",281.82917092,1,"5474"
"5475",281.82917092,1,"5475"
"5476",281.82917092,1,"5476"
"5477",281.82917092,1,"5477"
"5478",281.82917092,1,"5478"
"5479",281.82917092,1,"5479"
"5480",281.82917092,1,"5480"
"5481",281.82917092,1,"5481"
"5482",281.82917092,1,"5482"
"5483",281.82917092,1,"5483"
"5484",281.82917092,1,"5484"
"5485",281.82917092,1,"5485"
"5520",281.82917092,1,"5520"
"5521",281.82917092,1,"5521"
"5522",281.82917092,1,"5522"
"5523",281.82917092,1,"5523"
"5524",281.82917092,1,"5524"
"5525",281.82917092,1,"5525"
"5526",281.82917092,1,"5526"
"5527",281.82917092,1,"5527"
"5528",281.82917092,1,"5528"
"5529",281.82917092,1,"5529"
"5530",281.82917092,1,"5530"
"5531",281.82917092,1,"5531"
"5532",281.82917092,1,"5532"
"5533",281.82917092,1,"5533"
"5534",281.82917092,1,"5534"
"5535",281.82917092,1,"5535"
"5536",281.82917092,1,"5536"
"5537",281.82917092,1,"5537"
"5538",281.82917092,1,"5538"
"5539",281.82917092,1,"5539"
"5540",281.82917092,1,"5540"
"5541",281.82917092,1,"5541"
"5542",281.82917092,1,"5542"
