Unique_ID,TREEname,TREEvalue
5463,Lamna_nasus,1
5464,Lamna_nasus,1
5465,Lamna_nasus,1
5466,Lamna_nasus,1
5467,Lamna_nasus,1
5468,Lamna_nasus,1
5469,Lamna_nasus,1
5470,Lamna_nasus,1
5471,Lamna_nasus,1
5472,Lamna_nasus,1
5473,Lamna_nasus,1
5474,Lamna_nasus,1
5475,Lamna_nasus,1
5476,Lamna_nasus,1
5477,Lamna_nasus,1
5478,Lamna_nasus,1
5479,Lamna_nasus,1
5480,Lamna_nasus,1
5481,Lamna_nasus,1
5482,Lamna_nasus,1
5483,Lamna_nasus,1
5484,Lamna_nasus,1
5485,Lamna_nasus,1
5520,Lamna_nasus,1
5521,Lamna_nasus,1
5522,Lamna_nasus,1
5523,Lamna_nasus,1
5524,Lamna_nasus,1
5525,Lamna_nasus,1
5526,Lamna_nasus,1
5527,Lamna_nasus,1
5528,Lamna_nasus,1
5529,Lamna_nasus,1
5530,Lamna_nasus,1
5531,Lamna_nasus,1
5532,Lamna_nasus,1
5533,Lamna_nasus,1
5534,Lamna_nasus,1
5535,Lamna_nasus,1
5536,Lamna_nasus,1
5537,Lamna_nasus,1
5538,Lamna_nasus,1
5539,Lamna_nasus,1
5540,Lamna_nasus,1
5541,Lamna_nasus,1
5542,Lamna_nasus,1
5543,Lamna_nasus,1
5544,Lamna_nasus,1
5545,Lamna_nasus,1
5546,Lamna_nasus,1
5547,Lamna_nasus,1
5548,Lamna_nasus,1
5549,Lamna_nasus,1
5550,Lamna_nasus,1
5551,Lamna_nasus,1
5552,Lamna_nasus,1
5553,Lamna_nasus,1
5554,Lamna_nasus,1
5555,Lamna_nasus,1
5556,Lamna_nasus,1
5557,Lamna_nasus,1
5558,Lamna_nasus,1
5559,Lamna_nasus,1
5560,Lamna_nasus,1
5591,Lamna_nasus,1
5592,Lamna_nasus,1
5593,Lamna_nasus,1
5594,Lamna_nasus,1
5595,Lamna_nasus,1
5596,Lamna_nasus,1
5597,Lamna_nasus,1
5598,Lamna_nasus,1
5599,Lamna_nasus,1
5600,Lamna_nasus,1
5601,Lamna_nasus,1
5602,Lamna_nasus,1
5603,Lamna_nasus,1
5604,Lamna_nasus,1
5605,Lamna_nasus,1
5606,Lamna_nasus,1
5607,Lamna_nasus,1
5608,Lamna_nasus,1
5609,Lamna_nasus,1
5610,Lamna_nasus,1
5611,Lamna_nasus,1
5612,Lamna_nasus,1
5613,Lamna_nasus,1
5614,Lamna_nasus,1
5615,Lamna_nasus,1
5616,Lamna_nasus,1
5651,Lamna_nasus,1
5652,Lamna_nasus,1
5653,Lamna_nasus,1
5654,Lamna_nasus,1
5655,Lamna_nasus,1
5656,Lamna_nasus,1
5657,Lamna_nasus,1
5658,Lamna_nasus,1
5659,Lamna_nasus,1
5660,Lamna_nasus,1
5661,Lamna_nasus,1
5662,Lamna_nasus,1
5663,Lamna_nasus,1
5664,Lamna_nasus,1
5665,Lamna_nasus,1
5666,Lamna_nasus,1
5667,Lamna_nasus,1
5668,Lamna_nasus,1
5669,Lamna_nasus,1
5670,Lamna_nasus,1
5671,Lamna_nasus,1
5672,Lamna_nasus,1
5673,Lamna_nasus,1
5674,Lamna_nasus,1
5675,Lamna_nasus,1
5676,Lamna_nasus,1
5677,Lamna_nasus,1
5678,Lamna_nasus,1
5679,Lamna_nasus,1
5680,Lamna_nasus,1
5681,Lamna_nasus,1
5682,Carcharodon_carcharias,1
5682,Lamna_nasus,1
5683,Lamna_nasus,1
5684,Lamna_nasus,1
5685,Lamna_nasus,1
5686,Lamna_nasus,1
5687,Lamna_nasus,1
5688,Lamna_nasus,1
5689,Lamna_nasus,1
5690,Lamna_nasus,1
5691,Lamna_nasus,1
5692,Lamna_nasus,1
5693,Lamna_nasus,1
5722,Lamna_nasus,1
5723,Lamna_nasus,1
5724,Lamna_nasus,1
5725,Lamna_nasus,1
5726,Lamna_nasus,1
5727,Lamna_nasus,1
5728,Lamna_nasus,1
5729,Lamna_nasus,1
5730,Lamna_nasus,1
5731,Lamna_nasus,1
5732,Lamna_nasus,1
5733,Lamna_nasus,1
5734,Lamna_nasus,1
5735,Lamna_nasus,1
5736,Lamna_nasus,1
5737,Lamna_nasus,1
5738,Lamna_nasus,1
5739,Lamna_nasus,1
5740,Lamna_nasus,1
5741,Lamna_nasus,1
5742,Lamna_nasus,1
5743,Lamna_nasus,1
5744,Lamna_nasus,1
5745,Lamna_nasus,1
5746,Lamna_nasus,1
5747,Lamna_nasus,1
5782,Lamna_nasus,1
5783,Lamna_nasus,1
5784,Lamna_nasus,1
5785,Lamna_nasus,1
5786,Lamna_nasus,1
5787,Lamna_nasus,1
5788,Lamna_nasus,1
5789,Lamna_nasus,1
5790,Lamna_nasus,1
5791,Lamna_nasus,1
5792,Lamna_nasus,1
5793,Lamna_nasus,1
5794,Lamna_nasus,1
5795,Lamna_nasus,1
5796,Lamna_nasus,1
5797,Lamna_nasus,1
5798,Lamna_nasus,1
5799,Lamna_nasus,1
5800,Lamna_nasus,1
5801,Lamna_nasus,1
5802,Lamna_nasus,1
5803,Lamna_nasus,1
5804,Lamna_nasus,1
5805,Lamna_nasus,1
5806,Lamna_nasus,1
5807,Lamna_nasus,1
5808,Lamna_nasus,1
5809,Lamna_nasus,1
5810,Lamna_nasus,1
5811,Lamna_nasus,1
5812,Carcharodon_carcharias,1
5812,Lamna_nasus,1
5813,Carcharodon_carcharias,1
5813,Lamna_nasus,1
5814,Lamna_nasus,1
5815,Lamna_nasus,1
5816,Lamna_nasus,1
5817,Lamna_nasus,1
5818,Lamna_nasus,1
5819,Lamna_nasus,1
5820,Lamna_nasus,1
5821,Lamna_nasus,1
5822,Lamna_nasus,1
5823,Lamna_nasus,1
5824,Lamna_nasus,1
5852,Lamna_nasus,1
5853,Lamna_nasus,1
5854,Lamna_nasus,1
5855,Lamna_nasus,1
5856,Lamna_nasus,1
5857,Lamna_nasus,1
5858,Lamna_nasus,1
5859,Lamna_nasus,1
5860,Lamna_nasus,1
5861,Lamna_nasus,1
5862,Lamna_nasus,1
5863,Lamna_nasus,1
5864,Lamna_nasus,1
5865,Lamna_nasus,1
5866,Lamna_nasus,1
5867,Lamna_nasus,1
5868,Lamna_nasus,1
5869,Lamna_nasus,1
5870,Lamna_nasus,1
5871,Lamna_nasus,1
5872,Euprotomicrus_bispinatus,1
5872,Lamna_nasus,1
5873,Euprotomicrus_bispinatus,1
5873,Lamna_nasus,1
5874,Euprotomicrus_bispinatus,1
5874,Lamna_nasus,1
5875,Euprotomicrus_bispinatus,1
5875,Lamna_nasus,1
5876,Lamna_nasus,1
5877,Lamna_nasus,1
5878,Lamna_nasus,1
5913,Lamna_nasus,1
5914,Lamna_nasus,1
5915,Lamna_nasus,1
5916,Lamna_nasus,1
5917,Lamna_nasus,1
5918,Lamna_nasus,1
5919,Lamna_nasus,1
5920,Lamna_nasus,1
5921,Lamna_nasus,1
5922,Lamna_nasus,1
5923,Lamna_nasus,1
5924,Lamna_nasus,1
5925,Lamna_nasus,1
5926,Lamna_nasus,1
5927,Lamna_nasus,1
5928,Lamna_nasus,1
5929,Lamna_nasus,1
5930,Lamna_nasus,1
5931,Lamna_nasus,1
5932,Lamna_nasus,1
5933,Lamna_nasus,1
5934,Lamna_nasus,1
5935,Lamna_nasus,1
5936,Lamna_nasus,1
5937,Lamna_nasus,1
5938,Lamna_nasus,1
5939,Lamna_nasus,1
5940,Lamna_nasus,1
5941,Lamna_nasus,1
5942,Lamna_nasus,1
5943,Alopias_vulpinus,1
5943,Carcharodon_carcharias,1
5943,Cetorhinus_maximus,1
5943,Etmopterus_granulosus,1
5943,Lamna_nasus,1
5943,Notorynchus_cepedianus,1
5943,Schroederichthys_bivius,1
5944,Alopias_vulpinus,1
5944,Carcharodon_carcharias,1
5944,Cetorhinus_maximus,1
5944,Lamna_nasus,1
5945,Carcharodon_carcharias,1
5945,Lamna_nasus,1
5946,Lamna_nasus,1
5947,Lamna_nasus,1
5948,Lamna_nasus,1
5949,Lamna_nasus,1
5950,Lamna_nasus,1
5951,Lamna_nasus,1
5952,Lamna_nasus,1
5953,Lamna_nasus,1
5954,Lamna_nasus,1
5955,Lamna_nasus,1
5956,Lamna_nasus,1
5983,Lamna_nasus,1
5984,Lamna_nasus,1
5985,Lamna_nasus,1
5986,Lamna_nasus,1
5987,Lamna_nasus,1
5988,Lamna_nasus,1
5989,Lamna_nasus,1
5990,Lamna_nasus,1
5991,Lamna_nasus,1
5992,Lamna_nasus,1
5993,Lamna_nasus,1
5994,Lamna_nasus,1
5995,Lamna_nasus,1
5996,Lamna_nasus,1
5997,Lamna_nasus,1
5998,Lamna_nasus,1
5999,Lamna_nasus,1
6000,Lamna_nasus,1
6001,Lamna_nasus,1
6002,Lamna_nasus,1
6003,Euprotomicrus_bispinatus,1
6003,Lamna_nasus,1
6004,Euprotomicrus_bispinatus,1
6004,Lamna_nasus,1
6005,Carcharodon_carcharias,1
6005,Euprotomicrus_bispinatus,1
6005,Lamna_nasus,1
6006,Carcharodon_carcharias,1
